name,category,rating,city,cost_per_plate,decoration,makeup_artist,dj,photography
Woodapple Residency,banquet-halls,4.8,delhi,699,57200,10900,15000,25800
Venizia Sarovar Portico,banquet-halls,4.9,delhi,1000,65900,16500,8600,39500
Luxera Hotels Banquets Convention & Catering,banquet-halls,4.6,delhi,1800,110400,24300,14900,53500
Tivoli Grand,banquet-halls,4.7,delhi,1800,118400,23000,14000,50900
Calista Resort Delhi,banquet-halls,4.8,delhi,2500,145200,29600,10300,68900
Hotel Amara,banquet-halls,4.4,delhi,1000,77000,13200,12900,38100
The Golden Palms,banquet-halls,4.0,delhi,1399,96200,17600,12100,41000
Luxera Hotels Banquets Convention & Catering,banquet-halls,4.6,delhi,1800,110700,26700,8900,54300
The Orion Greater Kailash,banquet-halls,4.5,delhi,899,66200,12800,9300,29300
Evora Banquet & Hotel,banquet-halls,4.1,delhi,1000,65500,18900,13500,39500
Tivoli Grand,banquet-halls,4.6,delhi,1800,118500,26300,8800,57900
The Florence Banquet,banquet-halls,4.6,delhi,2000,119400,24700,12600,59900
Lado Rani Banquet,banquet-halls,4.6,delhi,1100,75600,19700,12200,37100
Ananda Banquets,banquet-halls,4.8,delhi,899,74400,14600,13200,37000
Hotel Plutos,banquet-halls,4.5,delhi,1600,106600,21300,10200,54500
Mona Grand,banquet-halls,4.6,delhi,999,76300,13900,12100,32700
China Fort,banquet-halls,3.8,delhi,750,63600,16100,12900,29700
Calista Resort Delhi,banquet-halls,4.8,delhi,2500,148300,34300,8900,61300
Grand Vikalp,banquet-halls,4.5,delhi,700,51700,10700,12000,28100
Haris Court Inns & Hotels Rooftop Party Place,banquet-halls,4.0,delhi,1100,70800,18000,14400,41400
Vardaan Sandoz,banquet-halls,4.8,delhi,1800,115600,27100,10300,48900
Gola Sizzlers Preet Vihar,banquet-halls,4.6,delhi,1000,78800,16100,13800,42700
Surya Grand,banquet-halls,4.8,delhi,850,64400,18300,8300,28200
Euphoria Mansion,banquet-halls,4.5,delhi,800,57400,12400,9500,34500
Precious Moments Banquet,banquet-halls,4.4,delhi,1000,70300,19100,11500,31800
The Grand Horizon Banquet,banquet-halls,4.8,delhi,1600,100100,19700,11900,43600
Banquet Surya Prime,banquet-halls,4.6,delhi,850,63900,12700,10000,39100
The Saga Hotel,banquet-halls,4.2,delhi,650,48700,15100,14100,30200
Surya Shine Banquet And Gardens,banquet-halls,4.6,delhi,900,64600,15700,12900,29900
Aurelia Heaven Banquets And Hotel,banquet-halls,4.8,delhi,1149,75800,15400,12600,39400
Gopal Vatika,banquet-halls,4.3,faridabad,600,57300,15300,10800,25200
Royal Imperio,banquet-halls,4.8,faridabad,1500,96400,19400,14200,43800
Satya Palace,banquet-halls,4.8,faridabad,1000,78000,16700,9300,36000
Immense Residency,banquet-halls,4.6,faridabad,950,73600,15000,8600,31400
Royal Imperio,banquet-halls,4.9,faridabad,1800,113700,25000,14000,55600
Royal Imperio,banquet-halls,4.8,faridabad,1800,114300,26000,12700,57000
Royal Imperio,banquet-halls,4.8,faridabad,1200,77600,21300,14100,35800
Royal Imperio,banquet-halls,4.8,faridabad,1800,112800,26400,12100,56700
Satya Palace,banquet-halls,4.8,faridabad,1000,67000,17300,12700,37300
Silbuttah Story By Bercos,banquet-halls,4.5,faridabad,1200,77700,17400,9400,38100
Royal Imperio,banquet-halls,4.8,faridabad,1200,84200,21200,12000,39300
Hotel Ekant,banquet-halls,3.0,faridabad,500,50000,13200,14200,20400
Hotel Delite,banquet-halls,3.4,faridabad,1100,70200,17700,13800,33700
Lotus Farms,banquet-halls,3.5,faridabad,800,57700,14700,10600,31300
Hotel Rajmahal Regency,banquet-halls,3.0,faridabad,550,45500,10300,14800,32000
Millenium Hotel,banquet-halls,4.0,faridabad,950,67200,14900,11600,32800
Shiv Shakti Green Vatika,banquet-halls,3.0,faridabad,500,41900,9900,9600,24200
Sewa Grand,banquet-halls,3.0,faridabad,1500,97700,18400,10000,51400
Pushp Vatika,banquet-halls,4.0,faridabad,1300,81300,22000,10200,50000
Park Plaza Faridabad,banquet-halls,4.0,faridabad,1500,91500,22900,12000,40100
Lotus Maple Garden,banquet-halls,4.0,faridabad,600,56400,13500,10100,31500
Royal Green Banquet N Party Lawn,banquet-halls,4.0,faridabad,1400,88600,18900,8100,51100
Welcome Restaurant & Banquet,banquet-halls,2.0,faridabad,500,43900,14600,14000,26400
Black Restaurant & Banquet,banquet-halls,2.0,faridabad,450,46300,7900,12800,33600
Sajan Vatika,banquet-halls,2.0,faridabad,350,46900,12800,12000,26600
Omkar Garden,banquet-halls,2.0,faridabad,2200,136100,29700,8900,65800
Shibiya Restaurant & Caterers,banquet-halls,2.0,faridabad,400,49500,7900,12100,19000
Hotel Abhinandan,banquet-halls,2.0,faridabad,800,60400,17600,10100,26400
Hotel Howdy,banquet-halls,2.0,faridabad,700,60600,16500,13200,32400
Queens Lawn And Banquets,banquet-halls,2.0,faridabad,1000,73800,13600,11000,32200
Golden Plate Hotel & Banquets,banquet-halls,4.6,ghaziabad,1000,75600,16100,11700,35000
Golden Castle Banquets,banquet-halls,4.8,ghaziabad,1200,85300,17300,14300,37100
Radisson Blu Kaushambi,banquet-halls,5.0,ghaziabad,2000,123400,27700,14300,58100
Shree Nath Jee Hotel And Banquet,banquet-halls,4.8,ghaziabad,1000,75200,14700,13800,39100
Hotel Samrat Kaushambi,banquet-halls,4.8,ghaziabad,500,51000,8600,10800,28900
The Terrace Resto Lounge,banquet-halls,4.6,ghaziabad,899,67500,18200,13600,40400
The Rasa,banquet-halls,4.6,ghaziabad,1199,77600,17100,14400,48500
The Great Callina Banquet,banquet-halls,4.5,ghaziabad,1400,92000,22800,9600,51300
5 Seas Hotel And Banquet,banquet-halls,3.8,ghaziabad,700,59600,16600,12400,25500
Banana Tree Hotel & Banquets,banquet-halls,4.6,ghaziabad,1200,81200,18700,11100,38700
Red K Velvet Hotel,banquet-halls,4.8,ghaziabad,2500,145500,32300,13800,64300
Panache Banquets & Restaurants,banquet-halls,4.4,ghaziabad,850,64600,16100,13900,30600
Venue Sandal Tree,banquet-halls,4.5,ghaziabad,1200,84700,16600,8200,44300
Venue Sandal Tree,banquet-halls,4.1,ghaziabad,1600,105700,24100,12100,52500
Kinsfolk Inn Hotel And Banquets,banquet-halls,3.5,ghaziabad,1250,78300,17000,14800,47000
Maps Inn Hotel And Banquet,banquet-halls,4.8,ghaziabad,999,77200,17300,8200,30800
Lemon Tree,banquet-halls,4.1,ghaziabad,2000,123200,25700,8700,53400
Sri Sri Residency Hotel,banquet-halls,4.7,ghaziabad,500,54500,11600,14000,26500
Banana Tree Hotel & Banquets,banquet-halls,4.6,ghaziabad,1200,78200,22000,14300,38200
5 Seas Hotel And Banquet,banquet-halls,3.7,ghaziabad,700,60100,14900,11500,28200
5 Seas Hotel And Banquet,banquet-halls,3.5,ghaziabad,700,51600,13600,13200,31400
Pearl Green Banquet,banquet-halls,4.8,ghaziabad,900,63900,13500,9500,37000
Golden Castle Party Lawns,banquet-halls,4.8,ghaziabad,1600,102600,25200,10100,42800
The Grand Palace,banquet-halls,4.5,ghaziabad,1200,78100,20200,10200,45000
Wow Palace,banquet-halls,4.8,ghaziabad,799,56000,14100,10000,28900
The Event Palace,banquet-halls,4.5,ghaziabad,1000,76700,20000,11900,35500
Red K Velvet Hotel,banquet-halls,4.8,ghaziabad,2000,125800,23100,13200,60100
The Great Callina Banquet,banquet-halls,4.5,ghaziabad,1200,88400,18200,10300,37300
Amaira Hotels And Banquets,banquet-halls,4.2,ghaziabad,750,56300,16500,12000,27900
Radisson Blu Kaushambi,banquet-halls,3.9,ghaziabad,2000,123000,27500,10000,63000
Aadat Hotel & Banquet,banquet-halls,4.9,gurgaon,900,69700,16700,11300,41400
Hotel The Archer And Banquet,banquet-halls,4.6,gurgaon,650,60500,13200,8900,26700
Hotel Golf View Suites,banquet-halls,4.6,gurgaon,950,77200,15700,11800,29000
Hotel Golf View Suites,banquet-halls,4.6,gurgaon,950,69400,17200,14800,30500
Nikko Premier,banquet-halls,4.7,gurgaon,999,70600,13300,9000,39000
Country Inn & Suites By Radisson Sohna Road Gurgaon,banquet-halls,4.8,gurgaon,1600,95200,24400,12000,52000
Hotel Gracia Golf,banquet-halls,4.5,gurgaon,800,59300,17100,8300,29600
Corus Banquet And Conventions,banquet-halls,4.8,gurgaon,1000,75200,17700,8900,35200
Blue Neck Hotels & Banquet,banquet-halls,4.8,gurgaon,850,58500,12100,12200,27200
Royal Swan Banquet,banquet-halls,3.9,gurgaon,1800,119600,22700,13100,59300
Hotel Golf View Suites,banquet-halls,4.6,gurgaon,950,75600,14800,14600,42400
The Acura Bmk,banquet-halls,4.6,gurgaon,1000,76500,14900,12300,38600
Infinity Stays,banquet-halls,4.6,gurgaon,650,60200,12100,10800,30200
Saavi Hotel Sector 10,banquet-halls,4.8,gurgaon,750,60100,15600,13700,40000
Infinity Stays,banquet-halls,4.6,gurgaon,650,59500,11600,14600,28100
The Acura Bmk,banquet-halls,4.6,gurgaon,1000,74500,19500,12900,34700
Ramada Gurgaon Central,banquet-halls,4.6,gurgaon,2000,116000,25300,13300,54300
Ramada Gurgaon Central,banquet-halls,4.6,gurgaon,2000,122900,27600,12100,59100
V Club Retreat,banquet-halls,4.8,gurgaon,1400,91400,18200,14600,48800
